datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Condensor pressure,Sink_temp_in,Sink_temp_out,COP,Compressor Power1 [W],Compressor Power2 [W],Condensor load[W],Temp difference,Intermediate pressure [bar],Vapour fraction Flash tank,error
2024/12/15 00:00:00,-0.08,7.01,3.7,104.31,28.62,60.38,97.12,2.5094633152176944,2875077.5064353477,3398674.7610887135,15744239.145555556,62.936303577426486,8.62,0.19634748328413137,
2024/12/15 02:30:00,0.07,7.26,3.91,104.71,28.92,60.55,97.26,2.5103588212590866,2872166.6697795787,3432601.0497844415,15827714.326111114,62.57047198423271,8.62,0.19534129553311114,
2024/12/15 05:00:00,-0.01,7.01,3.73,105.1,29.1,60.64,97.39,2.5040218001523282,2879168.96652241,3419469.716269058,15772420.124999998,62.84422952095406,8.66,0.19277555473405153,
2024/12/15 07:30:00,-0.08,6.91,3.62,103.2,28.43,60.65,97.25,2.5213518763359892,2866653.3253941573,3427542.0875958125,15870380.166666666,62.919491376513804,8.53,0.19692056774310807,
2024/12/15 10:00:00,-0.07,6.92,3.62,102.88,28.03,60.66,97.01,2.5207220601224347,2833752.6499130437,3394064.763066037,15699088.411111113,63.10623039140273,8.48,0.20216775296058456,
2024/12/15 12:30:00,-0.11,6.93,3.65,103.75,28.63,60.21,96.73,2.5052575755366977,2865234.114125436,3444550.342119227,15808128.355555557,63.4400716102399,8.55,0.2035453365376064,
2024/12/15 15:00:00,-0.05,6.96,3.68,104.65,29.03,59.96,96.37,2.4834315912796168,2844373.7818571106,3400240.1534051257,15508548.22,63.73072703604288,8.65,0.2039950539074105,
2024/12/15 17:30:00,-0.09,6.98,3.68,102.82,28.18,59.8,96.02,2.506520041447086,2791084.880960501,3396604.1948905825,15510047.91111111,63.65610551041385,8.46,0.2097953994063159,
2024/12/15 20:00:00,-0.1,6.99,3.68,102.62,27.99,59.64,95.94,2.5132869646038043,2795468.05776801,3375942.689916317,15511008.149999997,63.17767609779003,8.45,0.2059490490721282,
2024/12/15 22:30:00,-0.08,7.03,3.71,102.9,28.22,59.48,95.85,2.511810952828805,2809723.495448769,3373355.5603596624,15531206.374444442,62.703566315775674,8.49,0.20021041375618542,
2025/01/24 17:30:00,0.2,5.79,3.48,97.59,24.04,60.54,86.96,2.268047011586767,2287419.920351982,2576452.585273473,11031902.908888888,58.88474417453307,7.8,0.206894002435194,
2025/01/24 20:00:00,0.39,5.78,3.57,97.08,23.68,60.88,86.97,2.2572168556406833,2249028.1936915014,2524121.1777932188,10774449.626111107,57.630920524346436,7.72,0.198586758677488,
2025/01/24 22:30:00,0.05,5.83,3.11,95.41,23.54,57.01,86.49,2.443533283621732,2336490.2714543086,2704186.5209284644,12317505.566666663,58.22249073014143,7.71,0.18755889794257855,
2025/01/26 19:15:00,0.95,6.66,4.27,99.13,25.02,62.12,89.88,2.332993704356952,2366915.6001907345,2687169.252117672,11791595.15111111,59.87642540437247,8.12,0.20906857915156582,
2025/01/26 21:45:00,0.98,6.57,4.18,99.19,25.05,61.78,90.09,2.3265039185205976,2367359.0740073975,2680724.0224968134,11744828.15,59.83815975231835,8.12,0.20804900891444963,
2025/01/27 00:15:00,0.97,6.61,4.25,99.25,25.07,62.36,89.99,2.306257749554493,2335557.7003615606,2636332.0029353895,11466890.544999996,59.707179331714485,8.13,0.20806657742802123,
2025/01/27 02:45:00,1.01,6.63,4.27,99.32,25.01,62.78,89.91,2.286833911460722,2312755.509615413,2599886.113947834,11234811.836111108,59.61982702213828,8.12,0.20816228793409097,
2025/01/27 05:15:00,1.38,6.68,4.48,99.38,25.07,62.55,89.87,2.3077454879010397,2309909.631629955,2607275.0481370306,11348069.284444446,59.679756726513176,8.16,0.2066228472329297,
