datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Condensor pressure,Sink_temp_in,Sink_temp_out,COP,Compressor Power1 [W],Compressor Power2 [W],Condensor load[W],Temp difference,Intermediate pressure [bar],Vapour fraction Flash tank,error
2024/12/15 00:00:00,-0.08,7.01,3.7,104.31,28.62,60.38,97.12,2.6898684988128103,2700261.9475534908,3152698.0944901085,15744239.145555556,63.13480682734314,8.62,0.19634748328413262,
2024/12/15 02:30:00,0.07,7.26,3.91,104.71,28.92,60.55,97.26,2.6916709283566322,2698450.3012521816,3181603.9296793765,15827714.326111114,62.771087021156575,8.62,0.1953412955331124,
2024/12/15 05:00:00,-0.01,7.01,3.73,105.1,29.1,60.64,97.39,2.6835813242706537,2704560.150975197,3172612.1728986967,15772420.124999998,63.04257306031184,8.66,0.19277555473405222,
2024/12/15 07:30:00,-0.08,6.91,3.62,103.2,28.43,60.65,97.25,2.7059018447331455,2694335.416223779,3170556.151432069,15870380.166666666,63.121496364245615,8.53,0.1969205677431084,
2024/12/15 10:00:00,-0.07,6.92,3.62,102.88,28.03,60.66,97.01,2.702449745296361,2660419.644837785,3148583.098257436,15699088.411111113,63.30360953746606,8.48,0.20216775296058617,
2024/12/15 12:30:00,-0.11,6.93,3.65,103.75,28.63,60.21,96.73,2.688454754107994,2692690.7284855684,3187108.9142815024,15808128.355555557,63.643114718637776,8.55,0.2035453365376073,
2024/12/15 15:00:00,-0.05,6.96,3.68,104.65,29.03,59.96,96.37,2.657997916568912,2668269.924587122,3166202.453686969,15508548.22,63.92423782452238,8.65,0.20399505390741277,
2024/12/15 17:30:00,-0.09,6.98,3.68,102.82,28.18,59.8,96.02,2.684443917203946,2617687.5676270025,3159862.7638428267,15510047.91111111,63.849315919308026,8.46,0.20979539940631692,
2024/12/15 20:00:00,-0.1,6.99,3.68,102.62,27.99,59.64,95.94,2.6902098337297446,2620929.722040193,3144594.4549014843,15511008.149999997,63.36916134382909,8.45,0.20594904907212894,
2024/12/15 22:30:00,-0.08,7.03,3.71,102.9,28.22,59.48,95.85,2.686858354492585,2633883.6779060313,3146350.3312422675,15531206.374444442,62.8937481877723,8.49,0.20021041375618645,
2025/01/24 17:30:00,0.2,5.79,3.48,97.59,24.04,60.54,86.96,2.3450911407598793,1992221.0606222018,2711846.220936742,11031902.908888888,58.959883081823534,7.8,0.20689400243519104,
2025/01/24 20:00:00,0.39,5.78,3.57,97.08,23.68,60.88,86.97,2.3283783730217524,1938263.802037735,2688995.1405471726,10774449.626111107,57.699351366485416,7.72,0.19858675867748618,
2025/01/24 22:30:00,0.05,5.83,3.11,95.41,23.54,57.01,86.49,2.5728061654816465,2096686.7868949848,2690701.363589927,12317505.566666663,58.34242368733442,7.71,0.1875588979425767,
2025/01/26 19:15:00,0.95,6.66,4.27,99.13,25.02,62.12,89.88,2.437726149144062,2113779.6419663727,2723151.2927802308,11791595.15111111,59.97929228716964,8.12,0.20906857915156432,
2025/01/26 21:45:00,0.98,6.57,4.18,99.19,25.05,61.78,90.09,2.4276834369970337,2112693.044713254,2724985.1849689777,11744828.15,59.93778820994845,8.12,0.20804900891444816,
2025/01/27 00:15:00,0.97,6.61,4.25,99.25,25.07,62.36,89.99,2.3923297301058133,2075952.2984885229,2717045.3341615745,11466890.544999996,59.791720771062614,8.13,0.20806657742801815,
2025/01/27 02:45:00,1.01,6.63,4.27,99.32,25.01,62.78,89.91,2.3679839127373503,2038065.5023299302,2706210.4795837225,11234811.836111108,59.69949627146019,8.12,0.20816228793408947,
2025/01/27 05:15:00,1.38,6.68,4.48,99.38,25.07,62.55,89.87,2.39124914863192,2047616.3668890384,2697845.428997594,11348069.284444446,59.761206700400805,8.16,0.2066228472329292,
2025/01/27 07:45:00,1.21,6.71,4.38,99.23,25.05,62.21,89.93,2.4263459268061274,2105787.243536233,2726131.5001948266,11724394.220000003,59.7076538039006,8.12,0.2081500177534464,
2025/01/27 10:15:00,0.93,6.55,4.19,98.99,25.03,61.87,89.98,2.4550323156589133,2152502.7765521086,2728562.0521641276,11983674.046666669,59.980081468494745,8.13,0.2077757208546491,
2025/01/27 12:45:00,1.34,6.67,4.23,98.87,25.05,61.61,90.19,2.527548151711829,2072617.0600770067,2705927.1448899587,12078514.531111108,61.358323637328226,8.08,0.21048030400699466,
2025/01/27 15:15:00,0.56,6.85,3.86,100.38,26.67,61.4,91.8,2.6244296496216015,2347899.5556693757,2888007.780854343,13741777.866666665,61.89187086955974,8.41,0.1984999657113627,
2025/01/27 17:45:00,0.39,6.98,3.91,100.35,26.69,61.2,93.17,2.703163904335542,2518470.937891295,2996497.013242837,14908424.458888888,62.34373597863646,8.4,0.19978463652630732,
2025/01/27 20:15:00,0.3,7.04,3.9,100.54,26.73,61.98,93.85,2.705089824031758,2509463.1287525697,3026749.867085739,14976506.208888885,62.86335617623905,8.35,0.20663221722253997,
2025/01/27 22:45:00,0.63,7.06,4.03,100.77,26.7,62.64,93.38,2.6636001891288594,2429130.096908832,2957248.1158469766,14347693.48222222,63.15049447397968,8.42,0.21053913229524787,
